text,label,category
Ndakafarira basa renyu,1,Other
Very disappointing Bad customer care,0,Complaint
Great experience Service was excellent,1,Customer Service
Cimas was excellent thank you service,1,Customer Service
Service was excellent experience great,1,Customer Service
Service was excellent Helpful staff,1,Customer Service
Great efficient experience service,1,Customer Service
Quick assistance,1,Other
Thank you crew supportive cimas,1,Praise
Worst insurance ever process takes forever,0,Complaint
Delivery service poor very disappointing,0,Customer Service
Worst insurance ever Worst insurance ever,0,Complaint
Ndakafarira basa renyu Service was excellent,1,Customer Service
No aid received no assistance received,0,Other
Experience great makandibatsira zvakanaka,1,Praise
Ndatenda zvikuru fast claims processing,1,Claim
New the appreciated platform ndatenda zvikuru,1,Other
Handife very ndakadzokera disappointing,0,Other
Handife ndakadzokera Too slow response,0,Complaint
Handina kufara worst insurance ever,0,Complaint
Handina kufara unacceptable customer care,0,Complaint
Process forever takes vanononoka kubatsira,0,Other
Thank you CIMAS Efficient service,1,Customer Service
Thank you cimas makandibatsira zvakanaka,1,Praise
Zvakanaka makandibatsira thank you cimas,1,Praise
Fast basa renyu ndakafarira claims processing,1,Claim
Assistance quick efficient service,1,Customer Service
Fast claims processing Fast claims processing,1,Claim
Service was excellent Ndakafarira basa renyu,1,Customer Service
Service was excellent quick assistance,1,Customer Service
Ndatenda zvikuru Efficient service,1,Customer Service
Process takes forever,0,Other
Poor process delivery service takes forever,0,Customer Service
Makandibatsira zvakanaka Efficient service,1,Customer Service
Very forever process takes disappointing,0,Other
Vanononoka kubatsira poor service delivery,0,Customer Service
Very disappointing Staff was rude,0,Other
Good customer care good customer care,1,Praise
Handife ndakadzokera Handife ndakadzokera,0,Other
Bad customer care Very disappointing,0,Complaint
Kufara ndakadzokera handina handife,0,Other
Kind team service was excellent,1,Customer Service
The appreciated new application quick assistance,1,Other
Ndakafarira basa renyu efficient service,1,Customer Service
Service was excellent efficient service,1,Customer Service
Makandibatsira zvakanaka ndakafarira basa renyu,1,Other
Staff was rude Too slow response,0,Complaint
Friendly personnel friendly crew,1,Other
Worst insurance ever,0,Complaint
Handina kufara,0,Other
Makandibatsira zvakanaka Ndatenda zvikuru,1,Other
Helpful staff Thank you CIMAS,1,Praise
Staff was rude too sluggish feedback,0,Complaint
Efficient service,1,Customer Service
Quick assistance Service was excellent,1,Customer Service
Good customer care enjoyed application new the,1,Praise
Worst insurance ever Bad customer care,0,Complaint
Too reaction late handina kufara,0,Complaint
Great experience fast claims processing,1,Claim
Unacceptable customer care too sluggish reply,0,Complaint
Friendly crew good customer care,1,Praise
Quick assistance ndatenda zvikuru,1,Other
Ndakafarira basa renyu quick assistance,1,Other
Ndakafarira basa renyu Efficient service,1,Customer Service
Quick makandibatsira assistance zvakanaka,1,Other
Poor service delivery handife ndakadzokera,0,Customer Service
Too delayed reaction,0,Complaint
Personnel experience kind great,1,Praise
Poor service delivery poor service delivery,0,Customer Service
Ndakafarira basa renyu ndakafarira basa renyu,1,Other
Thank you CIMAS Quick assistance,1,Praise
Worst ever insurance handife ndakadzokera,0,Complaint
Quick assistance Loved the new app,1,Other
Helpful staff Great experience,1,Praise
Thank you cimas,1,Praise
Worst insurance ever Poor service delivery,0,Customer Service
Loved the new app Thank you CIMAS,1,Praise
Supportive thank personnel you cimas,1,Praise
Friendly team great experience,1,Praise
Unacceptable customer care very disappointing,0,Complaint
Ndakafarira basa renyu ndatenda zvikuru,1,Other
No support received staff was rude,0,Other
Good customer care Service was excellent,1,Customer Service
Process takes forever Process takes forever,0,Other
Handife ndakadzokera Delay in claims,0,Claim
Very disappointing staff was rude,0,Other
Fast claims processing good customer care,1,Claim
Platform the new appreciated appreciated the new platform,1,Other
Handina kufara process takes forever,0,Other
Poor service delivery No help received,0,Customer Service
Good customer care efficient service,1,Customer Service
Staff was rude vanononoka kubatsira,0,Other
Staff was rude Process takes forever,0,Other
Handina kufara Vanononoka kubatsira,0,Other
